_acc,_f1_macro,_train_loss,_val_loss,bidi,class_weight_smoothing,dropout_lstm,embedding_dim,epochs,hidden_dim,n_lstm_layers,runtime
0.7597816196542311,0.29564041270767877,0.1151218122492234,0.16296599308649698,true,10.0,0.3,6,30,16,2,6.622191538997868
0.7907188353048226,0.3558368618357607,0.09533622860908508,0.13601747651894888,true,30.0,0.3,6,30,16,2,4.301742354997259
0.7979981801637852,0.3496765056567738,0.09083314860860507,0.12689849237600961,true,10.0,0.3,6,30,23,2,5.128418258998863
0.8444040036396724,0.43579856882142576,0.07781201259543498,0.10966550807158153,true,30.0,0.3,6,30,23,2,5.310660012000881
0.8061874431301183,0.3447933831506723,0.09574456606060266,0.136010080575943,true,10.0,0.3,8,30,16,2,3.7728220729986788
0.7916287534121929,0.32301263952732595,0.09127174659321706,0.13178262362877527,true,30.0,0.3,8,30,16,2,3.910525117000361
0.8343949044585988,0.4240999676885436,0.07456831665088733,0.10851970314979553,true,10.0,0.3,8,30,23,2,4.95770498300044
0.8298453139217471,0.41512756082000807,0.07719681070496638,0.11283728231986363,true,30.0,0.3,8,30,23,2,4.921343508001883
0.7625113739763422,0.29150562381581535,0.10203405811140935,0.14851380387941995,true,10.0,0.3,10,30,16,2,3.730703025998082
0.7998180163785259,0.35171572369120363,0.09012083957592647,0.13216808686653772,true,30.0,0.3,10,30,16,2,3.792747948999022
0.8143767060964513,0.37615626615929537,0.0847251455609997,0.12005526572465897,true,10.0,0.3,10,30,23,2,5.062409219000983
0.8525932666060054,0.4452674722372872,0.06802284282942613,0.10183944056431453,true,30.0,0.3,10,30,23,2,5.06632887899832
0.9017288444040037,0.6918373021752982,0.022753697043905657,0.049784835427999496,true,30.0,0.3,8,30,64,2,18.3527774389986
0.935395814376706,0.7871349026581925,0.0038829436913753548,0.03779160417616367,true,30.0,0.3,8,30,128,2,28.90776801299944
0.9235668789808917,0.7786509471698584,0.018820823558295768,0.046699373672405876,true,30.0,0.3,8,30,128,3,49.46247825899991
0.9226569608735213,0.7603833495551117,0.0006060160740162246,0.054315232982238136,true,30.0,0.3,8,30,200,2,51.513738678000664
0.9281164695177434,0.7772599388794952,0.0022171363428545496,0.046965748692552246,true,30.0,0.3,10,30,128,2,28.190164769999683
0.9372156505914467,0.8288380682502045,0.002969630305112029,0.03302932841082414,true,30.0,0.3,10,30,200,2,46.69716842699927
0.9226569608735213,0.7946475241571456,0.004055287194205448,0.04519437626004219,true,30.0,0.3,6,30,128,2,28.161828299998888
0.9190172884440401,0.755891866600053,0.0008083490708183186,0.06252339296042919,true,30.0,0.3,6,30,200,2,48.04975812900011
0.9363057324840764,0.797524689875269,0.00030357067225850187,0.043171011532346405,true,30.0,0.3,16,30,200,2,47.74036924399843
0.9235668789808917,0.7813451918869769,0.00016174465114697037,0.05476957435409228,true,30.0,0.3,16,30,256,2,66.81380598499891
0.9381255686988171,0.8339091415651776,0.00029267428544699214,0.051505498588085175,true,30.0,0.3,12,30,200,2,50.263571210998634
0.9171974522292994,0.7888512970231457,0.0003958972471688564,0.07571785959104697,true,30.0,0.3,12,30,256,2,66.6948914200002
0.9308462238398544,0.7822482216690098,0.00070902238318619,0.05119339004158974,true,30.0,0.5,10,30,200,2,47.095068832000834
0.9281164695177434,0.8036171661027571,0.0004328330639206494,0.048477174093325935,true,30.0,0.3,10,30,256,2,65.80266700100037
0.9344858962693358,0.7925598411392009,0.00020439198669919278,0.04244239690403143,true,30.0,0.5,10,30,256,2,66.86216896899714
0.9372156505914467,0.8159568231389055,0.00036207467564963736,0.04712162042657534,true,30.0,0.5,12,30,200,2,48.04207298699839
0.935395814376706,0.8151484979428824,0.00026376527845665504,0.04842537765701612,true,30.0,0.5,12,30,256,2,66.95968939599697
