_acc,_f1_macro,_train_loss,_val_loss,bidi,class_weight_smoothing,dropout_lstm,embedding_dim,hidden_dim,lr_gamma,lr_start,n_lstm_layers,runtime,train_time
0.9573754789272031,0.8315838773991908,0.0003504937277674409,0.03517566372950872,true,10.0,0.2,8,32,0.99,0.01,2,5.075424333997944,5
0.9497126436781609,0.851893512864295,0.0011743076174752787,0.03609524108469486,true,20.0,0.2,8,32,0.99,0.01,2,5.0779960680010845,5
0.9521072796934866,0.8439072184582511,0.0005444833430893985,0.03629264235496521,true,10.0,0.3,8,32,0.99,0.01,2,5.095626588001323,5
0.9492337164750958,0.809180681807582,0.0005424458151017981,0.039521353940169014,true,20.0,0.3,8,32,0.99,0.01,2,5.056857650000893,5
0.9559386973180076,0.8376851324865919,0.0018462255705214506,0.03337349618474642,true,10.0,0.5,8,32,0.99,0.01,2,5.052384933995199,5
0.9530651340996169,0.8188738319894063,0.0029103493268069413,0.035720586155851684,true,20.0,0.5,8,32,0.99,0.01,2,5.062265713997476,5
0.9545019157088123,0.8421151700436114,0.00017152102944757125,0.035703616216778755,true,10.0,0.2,8,64,0.99,0.01,2,5.131250024998735,5
0.9511494252873564,0.8144798634188113,0.00020515554777895368,0.03763039285937945,true,20.0,0.2,8,64,0.99,0.01,2,5.100050854001893,5
0.9511494252873564,0.8086653926964151,0.0002544589577675132,0.0421458917359511,true,10.0,0.3,8,64,0.99,0.01,2,5.1014326860022265,5
0.9549808429118773,0.8501025791638489,0.00014355146725262915,0.03846964736779531,true,20.0,0.3,8,64,0.99,0.01,2,5.096375031993375,5
0.9568965517241379,0.816248925291071,0.00008668867849337403,0.03623764589428902,true,10.0,0.5,8,64,0.99,0.01,2,5.100475142004143,5
0.9473180076628352,0.8391346628756737,0.00010202466572601614,0.04326630880435308,true,20.0,0.5,8,64,0.99,0.01,2,5.107358592002129,5
0.9468390804597702,0.8122066261422703,0.0010208517155011318,0.03408534390230974,true,10.0,0.2,10,32,0.99,0.01,2,5.054305369994836,5
0.9468390804597702,0.7836080027371222,0.0004490508981689345,0.03878877187768618,true,20.0,0.2,10,32,0.99,0.01,2,5.082052214005671,5
0.9482758620689655,0.8276898653544685,0.0008130469629707347,0.036172272016604744,true,10.0,0.3,10,32,0.99,0.01,2,5.073282519995701,5
0.9559386973180076,0.8606010331480858,0.0005634568073479126,0.03402403990427653,true,20.0,0.3,10,32,0.99,0.01,2,5.083359582000412,5
0.9573754789272031,0.864050382474124,0.0006007456041905763,0.03494906177123388,true,10.0,0.5,10,32,0.99,0.01,2,5.076393285999075,5
0.9497126436781609,0.8347844198931812,0.0007536456541856751,0.033382801339030266,true,20.0,0.5,10,32,0.99,0.01,2,5.053110161999939,5
0.9516283524904214,0.8106622795177734,0.00010677183672669344,0.03834200402100881,true,10.0,0.2,10,64,0.99,0.01,2,5.069995607998862,5
0.9568965517241379,0.8331309767939884,0.0001239847915712744,0.036643246188759804,true,20.0,0.2,10,64,0.99,0.01,2,5.10048510300112,5
0.9501915708812261,0.8266428731347639,0.00010373472988638761,0.0415132325142622,true,10.0,0.3,10,64,0.99,0.01,2,5.094848597000237,5
0.9506704980842912,0.8005712853644779,0.00010551417731871229,0.03912703072031339,true,20.0,0.3,10,64,0.99,0.01,2,5.098160966997966,5
0.9602490421455939,0.8468292470909067,0.00010000322825882384,0.0353442057967186,true,10.0,0.5,10,64,0.99,0.01,2,5.102463983996131,5
0.9573754789272031,0.8305548109786272,0.000147997237945674,0.03330103804667791,true,20.0,0.5,10,64,0.99,0.01,2,5.118170009001915,5
0.9559386973180076,0.8406472176134693,0.0004464749779020037,0.03574800118803978,true,10.0,0.2,12,32,0.99,0.01,2,5.070086610001454,5
0.9482758620689655,0.8116593325145853,0.0004545271118071729,0.041941785564025245,true,20.0,0.2,12,32,0.99,0.01,2,5.0789301409968175,5
0.953544061302682,0.8138522738576498,0.0010857468940750031,0.032339125871658325,true,10.0,0.3,12,32,0.99,0.01,2,5.084961594999186,5
0.9583333333333334,0.8281988534706138,0.0004646908730917078,0.034081283335884414,true,20.0,0.3,12,32,0.99,0.01,2,5.071022290001565,5
0.9549808429118773,0.8431713871770314,0.0011496849630410516,0.037971045821905136,true,10.0,0.5,12,32,0.99,0.01,2,5.08624077100103,5
0.9492337164750958,0.8048174117700041,0.0007336307618451039,0.030560097346703213,true,20.0,0.5,12,32,0.99,0.01,2,5.0795706850040006,5
0.9583333333333334,0.8268351921501683,0.00008200694095908798,0.03784912327925364,true,10.0,0.2,12,64,0.99,0.01,2,5.091571805001877,5
0.9506704980842912,0.8040239748963054,0.00008803700023106233,0.04056304320693016,true,20.0,0.2,12,64,0.99,0.01,2,5.066502164001577,5
0.9568965517241379,0.8680237946803312,0.00008136221575633889,0.037678768237431846,true,10.0,0.3,12,64,0.99,0.01,2,5.097330422999221,5
0.9545019157088123,0.8452505080982874,0.0001491133384011586,0.042886907855669655,true,20.0,0.3,12,64,0.99,0.01,2,5.080057963001309,5
0.9583333333333334,0.8388379132849195,0.00009557828473459397,0.036595432087779045,true,10.0,0.5,12,64,0.99,0.01,2,5.109481988001789,5
0.9545019157088123,0.7860167804565441,0.00008623204069278602,0.03823451946179072,true,20.0,0.5,12,64,0.99,0.01,2,5.08521344899782,5
0.9492337164750958,0.8389548809146756,0.0006992893010777022,0.036750826984643936,true,5.0,0.2,12,32,0.99,0.01,2,5.096088432997931,5
0.9568965517241379,0.8685505879109555,0.0005770721867780334,0.03536200399200121,true,5.0,0.3,12,32,0.99,0.01,2,5.096325526006694,5
0.9506704980842912,0.8563184913645012,0.0013754737550958193,0.03608786687254906,true,5.0,0.5,12,32,0.99,0.01,2,5.065545828001632,5
0.9592911877394636,0.8590189151980904,0.00015687798752748807,0.04108597959081332,true,5.0,0.2,12,64,0.99,0.01,2,5.081859505997272,5
0.9597701149425287,0.8241132544646134,0.00010681671223470143,0.03767567748824755,true,5.0,0.3,12,64,0.99,0.01,2,5.111539917998016,5
0.9525862068965517,0.8353593756708162,0.00031707255038782023,0.03604476278026899,true,5.0,0.5,12,64,0.99,0.01,2,5.064574213000014,5
0.9454022988505747,0.7870943074400549,0.00015014701680878976,0.037561919540166855,true,10.0,0.2,12,128,0.99,0.01,2,5.126049275000696,5
0.9530651340996169,0.8067967454743032,0.000049734389644332365,0.04113747179508209,true,5.0,0.2,12,128,0.99,0.01,2,5.158605681004701,5
0.9549808429118773,0.7907218752373195,0.00008440254194803336,0.03987375025947889,true,10.0,0.3,12,128,0.99,0.01,2,5.158637877997535,5
0.9516283524904214,0.8250838802353235,0.00006370068928975212,0.03889670719703039,true,5.0,0.3,12,128,0.99,0.01,2,5.116971857998578,5
0.9559386973180076,0.8370156738064644,0.00006235264585744258,0.04126166800657908,true,10.0,0.5,12,128,0.99,0.01,2,5.169377238002198,5
0.9583333333333334,0.8251233474178572,0.00004404798541405138,0.0392184741795063,true,5.0,0.5,12,128,0.99,0.01,2,5.182705213999725,5
0.9540229885057471,0.84048052486517,0.0003672193161037285,0.036793635537227,true,10.0,0.2,16,32,0.99,0.01,2,5.087008285001502,5
0.9568965517241379,0.8498334287682193,0.0004651493436540477,0.03507270726064841,true,5.0,0.2,16,32,0.99,0.01,2,5.085743495001225,5
0.9540229885057471,0.8661283764991935,0.0003498192579302538,0.04226429636279742,true,10.0,0.3,16,32,0.99,0.01,2,5.0881029539959854,5
0.9530651340996169,0.8439238576244351,0.0005230898532317951,0.038972644756237663,true,5.0,0.3,16,32,0.99,0.01,2,5.058842056998401,5
0.960727969348659,0.8922062950015437,0.0010259025459942808,0.04031325380007426,true,10.0,0.5,16,32,0.99,0.01,2,5.090064087002247,5
0.953544061302682,0.8594794938364224,0.0009605472971868169,0.03314885993798574,true,5.0,0.5,16,32,0.99,0.01,2,5.0667412469993,5
0.9568965517241379,0.8391250734229369,0.0000727542244151534,0.03486157767474651,true,10.0,0.2,16,64,0.99,0.01,2,5.067715969002165,5
0.9540229885057471,0.8299094406952037,0.00011165161205488923,0.04269213850299517,true,5.0,0.2,16,64,0.99,0.01,2,5.083031951995508,5
0.9530651340996169,0.8755858567493813,0.00010077163044895445,0.04247433443864187,true,10.0,0.3,16,64,0.99,0.01,2,5.057089392998023,5
0.9549808429118773,0.8371429430396106,0.00007918773956459648,0.03790297731757164,true,5.0,0.3,16,64,0.99,0.01,2,5.079623531994002,5
0.9511494252873564,0.8351070146087848,0.00011727614297082514,0.042800902078549065,true,10.0,0.5,16,64,0.99,0.01,2,5.108578616003797,5
0.9497126436781609,0.8326540707432194,0.000188549990395716,0.040522741774717964,true,5.0,0.5,16,64,0.99,0.01,2,5.0812143520015525,5
0.9511494252873564,0.8135005313101765,0.00005894251288347212,0.04141809791326523,true,10.0,0.2,16,128,0.99,0.01,2,5.1756580420042155,5
0.9564176245210728,0.8202500939844597,0.00006686011641120006,0.03787860398491224,true,5.0,0.2,16,128,0.99,0.01,2,5.118332488003944,5
0.9549808429118773,0.8484209797725534,0.00005208997208683286,0.037693530321121216,true,10.0,0.3,16,128,0.99,0.01,2,5.161859585001366,5
0.9540229885057471,0.8476615300715024,0.00004400848748835935,0.03652230153481165,true,5.0,0.3,16,128,0.99,0.01,2,5.173525285004871,5
0.9540229885057471,0.8326981821174929,0.000051870337041951385,0.03705056384205818,true,10.0,0.5,16,128,0.99,0.01,2,5.15616020699963,5
0.9578544061302682,0.8502186227966678,0.00005423562158414695,0.038780917723973594,true,5.0,0.5,16,128,0.99,0.01,2,5.119889093999518,5
