_acc,_f1_macro,_train_loss,_val_loss,bidi,class_weight_smoothing,dropout_lstm,embedding_dim,hidden_dim,label_smoothing,lr_gamma,lr_start,n_lstm_layers,runtime,train_time
0.9308252427184466,0.7414469229170209,0.0011398787755751982,0.19854860939085484,true,10.0,0.5,16,64,0.0,0.99,0.05,2,10.070781917999966,10
0.9453883495145631,0.7763497114481345,0.000025870565817361543,0.1398584023118019,true,10.0,0.5,16,64,0.0,0.99,0.01,2,10.102377609999849,10
0.9484223300970874,0.8121291732758543,0.6753225922584534,0.7430035322904587,true,10.0,0.5,16,64,0.1,0.99,0.05,2,10.070115413999929,10
0.9381067961165048,0.7668581639934468,0.6720512310663859,0.764028325676918,true,10.0,0.5,16,64,0.1,0.99,0.01,2,10.061297711999941,10
0.9429611650485437,0.7705742236387043,0.009636814395586649,0.1500961948186159,true,10.0,0.7,16,64,0.0,0.99,0.05,2,10.05880482800012,10
0.9320388349514563,0.7520565023249866,0.00010095404431922361,0.17462855018675327,true,10.0,0.7,16,64,0.0,0.99,0.01,2,10.096724922000021,10
0.9502427184466019,0.8128383024255225,0.6775082588195801,0.7468067556619644,true,10.0,0.7,16,64,0.1,0.99,0.05,2,10.076232470999912,10
0.9356796116504854,0.7772860309152437,0.6740186214447021,0.7540181428194046,true,10.0,0.7,16,64,0.1,0.99,0.01,2,10.105713567000066,10
0.9393203883495146,0.7822918012000893,0.0006063021401738904,0.17400392144918442,true,5.0,0.5,16,64,0.0,0.99,0.05,2,10.103286126999592,10
0.9350728155339806,0.7987504946098036,0.6766788244247437,0.7604553252458572,true,5.0,0.5,16,64,0.1,0.99,0.05,2,10.05366842300009,10
0.9435679611650486,0.791136445741155,0.006830157044654091,0.1570078246295452,true,5.0,0.7,16,64,0.0,0.99,0.05,2,10.05810892999989,10
0.9466019417475728,0.8096527057063108,0.6812689383824666,0.7556671798229218,true,5.0,0.7,16,64,0.1,0.99,0.05,2,10.084369181000056,10
