_acc,_f1_macro,_train_loss,_val_loss,bidi,class_weight_smoothing,dropout_lstm,embedding_dim,epochs,hidden_dim,n_lstm_layers,runtime
0.23951715374841168,0.026470071967702298,0.6729170571674,0.3127024571100871,true,100.0,0.3,4,5,16,2,0.604150621991721
0.247141041931385,0.041927543687955884,0.6442172798243436,0.29935277501742047,true,100.0,0.3,4,5,32,2,0.6879162669938523
0.2363405336721728,0.026036745406824147,0.6672823564572767,0.3118067880471547,true,100.0,0.3,6,5,16,2,0.5655787309951847
0.32592121982210925,0.11837955340872373,0.5773314535617828,0.26494408150513965,true,100.0,0.3,6,5,32,2,0.6820458000001963
0.6937738246505718,0.37854097592288166,0.27565384994853626,0.12982608129580817,true,100.0,0.3,4,15,16,2,1.9248015220073285
0.24587039390088947,0.036553621761679235,0.6216148463162509,0.29308749735355377,true,100.0,0.3,4,15,16,3,2.207830440995167
0.909148665819568,0.6946115098052464,0.12699996104294603,0.04839744294683138,true,100.0,0.3,4,15,32,2,1.964400436001597
0.5559085133418044,0.3134458776879879,0.35143065452575684,0.1588511789838473,true,100.0,0.3,4,15,32,3,2.573595130990725
0.752858958068615,0.42333717220421146,0.23391477357257495,0.103294904033343,true,100.0,0.3,6,15,16,2,0.8418081480049295
0.397712833545108,0.11650428279147633,0.4728904203935103,0.220318670074145,true,100.0,0.3,6,15,16,3,1.1726247159967897
0.9351969504447268,0.724513422843035,0.11802602152932774,0.04530000810821851,true,100.0,0.3,6,15,32,2,1.1183817769924644
0.6200762388818297,0.3067411968666113,0.27505337514660577,0.13547406842311224,true,100.0,0.3,6,15,32,3,1.6506650980008999
0.9561626429479034,0.7512989795892107,0.07863585752519694,0.026755706096688908,true,100.0,0.3,4,30,16,2,2.9529902880021837
0.6296060991105463,0.33595835728396495,0.28656940297646954,0.13354181994994482,true,100.0,0.3,4,30,16,3,4.218147699997644
0.9580686149936467,0.7567413816662135,0.04601350850002332,0.02278803785641988,true,100.0,0.3,4,30,32,2,2.393487036009901
0.9580686149936467,0.7533472256798063,0.08025775443423878,0.02827015146613121,true,100.0,0.3,4,30,32,3,3.3571476669894764
0.9606099110546379,0.7575623503814273,0.010105761826377024,0.015717577189207077,true,100.0,0.3,4,30,64,2,3.7551552840013755
0.9599745870393901,0.8008108445247432,0.03713617490773851,0.01854226179420948,true,100.0,0.3,4,30,64,3,6.411819757006015
0.9555273189326556,0.7483464620871775,0.08238447491418231,0.024601598580678303,true,100.0,0.3,6,30,16,2,1.6746225239912746
0.832274459974587,0.5808563768560067,0.1301409358328039,0.05732279643416405,true,100.0,0.3,6,30,16,3,2.507520432001911
0.9720457433290979,0.7727056159032388,0.04445564391260797,0.015631395392119884,true,100.0,0.3,6,30,32,2,2.350303437997354
0.9396442185514613,0.7052432688425622,0.07409708642146805,0.034150538966059685,true,100.0,0.3,6,30,32,3,3.508696778997546
0.974587039390089,0.8658037086414693,0.023685148578475822,0.01164900604635477,true,100.0,0.3,6,30,64,2,3.6874453159980476
0.9675984752223634,0.8498092813333651,0.043430695733563465,0.015761116830011208,true,100.0,0.3,6,30,64,3,5.907453482999699
0.9523506988564168,0.7449444517926244,0.07331729206171902,0.023219445099433262,true,100.0,0.3,8,30,16,2,1.6496613400086062
